Beverages,Item_1_BEV,5.00
Butchers,Item_1_BUT,5.00
Computers and electric accessories,Item_1_CEA,5.00
Electric household essentials,Item_1_EHE,5.00
Food,Item_1_FOOD,5.00
Furniture,Item_1_FUR,5.00
Milk Products,Item_1_MILK,5.00
Patisserie,Item_1_PAT,5.00
Beverages,Item_10_BEV,18.50
Butchers,Item_10_BUT,18.50
Computers and electric accessories,Item_10_CEA,18.50
Electric household essentials,Item_10_EHE,18.50
Food,Item_10_FOOD,18.50
Furniture,Item_10_FUR,18.50
Milk Products,Item_10_MILK,18.50
Patisserie,Item_10_PAT,18.50
Beverages,Item_11_BEV,20.00
Butchers,Item_11_BUT,20.00
Computers and electric accessories,Item_11_CEA,20.00
Electric household essentials,Item_11_EHE,20.00
Food,Item_11_FOOD,20.00
Furniture,Item_11_FUR,20.00
Milk Products,Item_11_MILK,20.00
Patisserie,Item_11_PAT,20.00
Beverages,Item_12_BEV,21.50
Butchers,Item_12_BUT,21.50
Computers and electric accessories,Item_12_CEA,21.50
Electric household essentials,Item_12_EHE,21.50
Food,Item_12_FOOD,21.50
Furniture,Item_12_FUR,21.50
Milk Products,Item_12_MILK,21.50
Patisserie,Item_12_PAT,21.50
Beverages,Item_13_BEV,23.00
Butchers,Item_13_BUT,23.00
Computers and electric accessories,Item_13_CEA,23.00
Electric household essentials,Item_13_EHE,23.00
Food,Item_13_FOOD,23.00
Furniture,Item_13_FUR,23.00
Milk Products,Item_13_MILK,23.00
Patisserie,Item_13_PAT,23.00
Beverages,Item_14_BEV,24.50
Butchers,Item_14_BUT,24.50
Computers and electric accessories,Item_14_CEA,24.50
Electric household essentials,Item_14_EHE,24.50
Food,Item_14_FOOD,24.50
Furniture,Item_14_FUR,24.50
Milk Products,Item_14_MILK,24.50
Patisserie,Item_14_PAT,24.50
Beverages,Item_15_BEV,26.00
Butchers,Item_15_BUT,26.00
Computers and electric accessories,Item_15_CEA,26.00
Electric household essentials,Item_15_EHE,26.00
Food,Item_15_FOOD,26.00
Furniture,Item_15_FUR,26.00
Milk Products,Item_15_MILK,26.00
Patisserie,Item_15_PAT,26.00
Beverages,Item_16_BEV,27.50
Butchers,Item_16_BUT,27.50
Computers and electric accessories,Item_16_CEA,27.50
Electric household essentials,Item_16_EHE,27.50
Food,Item_16_FOOD,27.50
Furniture,Item_16_FUR,27.50
Milk Products,Item_16_MILK,27.50
Patisserie,Item_16_PAT,27.50
Beverages,Item_17_BEV,29.00
Butchers,Item_17_BUT,29.00
Computers and electric accessories,Item_17_CEA,29.00
Electric household essentials,Item_17_EHE,29.00
Food,Item_17_FOOD,29.00
Furniture,Item_17_FUR,29.00
Milk Products,Item_17_MILK,29.00
Patisserie,Item_17_PAT,29.00
Beverages,Item_18_BEV,30.50
Butchers,Item_18_BUT,30.50
Computers and electric accessories,Item_18_CEA,30.50
Electric household essentials,Item_18_EHE,30.50
Food,Item_18_FOOD,30.50
Furniture,Item_18_FUR,30.50
Milk Products,Item_18_MILK,30.50
Patisserie,Item_18_PAT,30.50
Beverages,Item_19_BEV,32.00
Butchers,Item_19_BUT,32.00
Computers and electric accessories,Item_19_CEA,32.00
Electric household essentials,Item_19_EHE,32.00
Food,Item_19_FOOD,32.00
Furniture,Item_19_FUR,32.00
Milk Products,Item_19_MILK,32.00
Patisserie,Item_19_PAT,32.00
Beverages,Item_2_BEV,6.50
Butchers,Item_2_BUT,6.50
Computers and electric accessories,Item_2_CEA,6.50
Electric household essentials,Item_2_EHE,6.50
Food,Item_2_FOOD,6.50
Furniture,Item_2_FUR,6.50
Milk Products,Item_2_MILK,6.50
Patisserie,Item_2_PAT,6.50
Beverages,Item_20_BEV,33.50
Butchers,Item_20_BUT,33.50
Computers and electric accessories,Item_20_CEA,33.50
Electric household essentials,Item_20_EHE,33.50
Food,Item_20_FOOD,33.50
Furniture,Item_20_FUR,33.50
Milk Products,Item_20_MILK,33.50
Patisserie,Item_20_PAT,33.50
Beverages,Item_21_BEV,35.00
Butchers,Item_21_BUT,35.00
Computers and electric accessories,Item_21_CEA,35.00
Electric household essentials,Item_21_EHE,35.00
Food,Item_21_FOOD,35.00
Furniture,Item_21_FUR,35.00
Milk Products,Item_21_MILK,35.00
Patisserie,Item_21_PAT,35.00
Beverages,Item_22_BEV,36.50
Butchers,Item_22_BUT,36.50
Computers and electric accessories,Item_22_CEA,36.50
Electric household essentials,Item_22_EHE,36.50
Food,Item_22_FOOD,36.50
Furniture,Item_22_FUR,36.50
Milk Products,Item_22_MILK,36.50
Patisserie,Item_22_PAT,36.50
Beverages,Item_23_BEV,38.00
Butchers,Item_23_BUT,38.00
Computers and electric accessories,Item_23_CEA,38.00
Electric household essentials,Item_23_EHE,38.00
Food,Item_23_FOOD,38.00
Furniture,Item_23_FUR,38.00
Milk Products,Item_23_MILK,38.00
Patisserie,Item_23_PAT,38.00
Beverages,Item_24_BEV,39.50
Butchers,Item_24_BUT,39.50
Computers and electric accessories,Item_24_CEA,39.50
Electric household essentials,Item_24_EHE,39.50
Food,Item_24_FOOD,39.50
Furniture,Item_24_FUR,39.50
Milk Products,Item_24_MILK,39.50
Patisserie,Item_24_PAT,39.50
Beverages,Item_25_BEV,41.00
Butchers,Item_25_BUT,41.00
Computers and electric accessories,Item_25_CEA,41.00
Electric household essentials,Item_25_EHE,41.00
Food,Item_25_FOOD,41.00
Furniture,Item_25_FUR,41.00
Milk Products,Item_25_MILK,41.00
Patisserie,Item_25_PAT,41.00
Beverages,Item_3_BEV,8.00
Butchers,Item_3_BUT,8.00
Computers and electric accessories,Item_3_CEA,8.00
Electric household essentials,Item_3_EHE,8.00
Food,Item_3_FOOD,8.00
Furniture,Item_3_FUR,8.00
Milk Products,Item_3_MILK,8.00
Patisserie,Item_3_PAT,8.00
Beverages,Item_4_BEV,9.50
Butchers,Item_4_BUT,9.50
Computers and electric accessories,Item_4_CEA,9.50
Electric household essentials,Item_4_EHE,9.50
Food,Item_4_FOOD,9.50
Furniture,Item_4_FUR,9.50
Milk Products,Item_4_MILK,9.50
Patisserie,Item_4_PAT,9.50
Beverages,Item_5_BEV,11.00
Butchers,Item_5_BUT,11.00
Computers and electric accessories,Item_5_CEA,11.00
Electric household essentials,Item_5_EHE,11.00
Food,Item_5_FOOD,11.00
Furniture,Item_5_FUR,11.00
Milk Products,Item_5_MILK,11.00
Patisserie,Item_5_PAT,11.00
Beverages,Item_6_BEV,12.50
Butchers,Item_6_BUT,12.50
